,Bacteroides_gallinarum,Bilophila_wadsworthia|t__SGB15452,Clostridia_unclassified_SGB4121,Clostridiales_bacterium|t__SGB15158,Clostridium_fessum|t__SGB4705,Dorea_formicigenerans|t__SGB4575,Faecalibacterium_prausnitzii,Faecalibacterium_prausnitzii|t__SGB15316_group,Faecalibacterium_prausnitzii|t__SGB15318_group,Faecalibacterium_prausnitzii|t__SGB15342,Lachnospiraceae_bacterium,Massilioclostridium_coli,Parabacteroides_distasonis|t__SGB1934,Romboutsia_timonensis,Ruminococcaceae_bacterium|t__SGB4181,unclassified
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.54953
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.99891
3,0.0,0.25591,0.10066,0.0,0.36234,0.24689,7.20509,1.56807,2.8634,1.63147,1.42142,0.00257,0.0,0.0,0.0,0.0
4,0.0,0.0,0.16614,0.0,0.11809,0.11317,8.77324,0.43792,2.36971,1.6561,1.31115,0.00986,0.69641,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.39616
6,0.0,0.06043,0.0,0.0,0.10965,0.09383,7.87493,4.90156,0.77304,0.63925,2.60478,0.0,0.29664,0.04092,0.0,0.0
7,0.0,0.44238,0.0,0.0,0.37634,0.01263,5.0332,1.13409,0.23484,0.70576,0.42225,0.0,0.64103,0.0089,0.0,0.0
8,0.0,0.0,0.03357,0.0,0.07083,0.02431,0.54965,0.1114,0.0,0.15037,0.46396,0.0,0.0,0.0,0.0,0.0
9,0.0011,0.22432,0.14599,0.0,0.37994,0.11354,2.24227,0.0663,1.25809,0.45468,0.53972,0.0111,0.17309,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4901
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.00214,0.02168,0.0,0.0,0.16753,0.01617,3.93705,1.5875,0.42552,0.74712,1.77979,0.0,0.25395,0.0487,0.0,0.0
13,0.0,0.11959,0.0,0.0,0.16009,0.03456,11.44678,6.73782,1.96558,0.58996,0.20864,0.0,0.9428,0.01405,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06349
