,Agathobaculum_butyriciproducens|t__SGB14993_group,Bacteroides_ovatus|t__SGB1871,Bacteroides_uniformis|t__SGB1836_group,Blautia_faecis,Blautia_massiliensis,Blautia_obeum|t__SGB4811_group,Blautia_wexlerae,Clostridiaceae_bacterium|t__SGB4269,Clostridium_fessum|t__SGB4705,Coprococcus_catus,Dorea_longicatena,Enterocloster_bolteae|t__SGB4758_group,Escherichia_coli|t__SGB10068,GGB9581_SGB14999|t__SGB14999,Parabacteroides_merdae|t__SGB1949
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.30466,0.03818,2.89348,1.75865,0.39969,0.50145,5.44905,0.80476,0.36234,0.24954,1.04483,0.00267,0.02003,0.0137,0.0
4,0.31196,1.52173,8.91354,0.72893,1.08139,0.37241,1.03106,0.12861,0.11809,0.02797,0.86598,0.0,0.29127,0.0,0.91505
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.02744,0.51486,1.29456,0.1961,0.00376,0.08918,0.27879,0.11738,0.10965,0.19536,0.08139,0.0,4.754,0.02683,0.26757
7,0.00764,0.36612,4.13492,0.06264,0.0077,0.07225,0.094,0.00668,0.37634,0.01682,0.05083,0.00028,0.20813,0.03507,1.55469
8,0.00856,5.81879,0.0,0.09207,0.55183,1.12868,1.7366,0.03474,0.07083,0.0,0.02014,0.0,0.0,0.0,0.0
9,0.15219,0.31949,3.97828,0.10844,0.10827,0.25686,0.49345,0.01423,0.37994,0.1184,0.41739,0.00592,0.2982,0.06615,0.51513
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.01834,0.03194,2.11838,0.03056,0.00838,0.00679,0.14786,0.41404,0.16753,0.00882,0.06686,0.0,0.10925,0.0,0.18348
13,0.0239,0.97648,0.33096,0.0181,0.01398,0.03238,0.03217,0.06421,0.16009,0.00385,0.05244,0.0,0.33041,0.03727,0.92729
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.09844,0.13392,0.87827,0.08204,0.04451,0.05144,0.11811,0.10865,0.01825,0.04313,0.10327,0.0,0.00768,0.0,0.29396
22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.00426,2.65159,0.0,0.21238,0.01102,0.11469,2.5594,0.21012,0.05696,0.00417,0.20131,0.0,0.0,0.0,0.0
28,0.05407,0.03556,0.82575,1.24526,0.01669,0.67989,2.47174,0.57642,0.24282,0.14642,0.71224,0.00189,0.03835,0.0,0.19849
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,0.09666,0.07571,0.1513,0.05462,0.57393,0.04511,1.36298,0.01349,0.0717,0.0,1.82035,0.0,0.0184,0.0,0.10646
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.52941,0.48232,0.0,0.0,0.00505,0.03796,0.01194,0.00108,0.0,0.01754,0.0,0.0,0.0,3.10638
33,0.00708,2.91371,0.97425,0.02905,0.04433,0.00092,0.05363,0.01229,0.00153,0.02307,0.04822,0.0,0.0,0.00291,4.36537
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
