,Faecalibacterium_prausnitzii,GGB3746_SGB5089|t__SGB5089,Phocaeicola_vulgatus|t__SGB1814,_Cutibacterium_acnes|t__SGB16955,_Faecalibacterium_prausnitzii,_Phocaeicola_plebeius|t__SGB1903_group,_Phocaeicola_vulgatus|t__SGB1814,mitis|t__SGB8163,putredinis|t__SGB2318,unclassified|g__Phocaeicola,uniformis|t__SGB1836_group
0,0.0,0.0,0.0,26.44574,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.60001,16.48425,2.59173,0.0,7.01814,20.32368,10.61473
2,0.0,0.0,0.0,0.0,1.1969,4.69619,7.94435,0.0,7.50038,19.76679,9.57121
3,7.20509,1.29211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,8.77324,0.00041,0.8132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,4.00133,0.0,16.0775,0.00859,5.28859,16.0775,9.56364
6,7.87493,2.68166,2.10271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,5.0332,0.0057,9.85288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.54965,0.06398,0.01709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2.24227,0.00281,4.92215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,3.0423,0.0,2.52806,0.0,2.88179,3.99679,4.1321
11,0.0,0.0,0.0,44.41641,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,3.93705,1.09337,5.28384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,11.44678,0.0,2.49754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.01818,0.05316,0.14473,0.14906,0.02759,0.19789,0.03697
15,0.0,0.0,0.0,0.0,7.14791,0.03349,23.91494,0.0,0.2818,29.93393,5.18918
16,0.0,0.0,0.0,0.0,0.42552,1.41941,6.06149,0.0,13.45325,7.88362,6.34812
17,0.0,0.0,0.0,0.0,7.06691,0.0,1.66216,0.00112,4.51645,4.37778,3.68332
18,0.0,0.0,0.0,0.0,27.12968,0.03133,0.08762,0.0,0.00512,25.83935,4.21468
19,0.0,0.0,0.0,0.0,1.26933,0.0,26.27175,0.0,0.0,28.98405,2.25982
20,0.0,0.0,0.0,0.00082,0.0,0.0,0.0,0.37238,0.0,0.0,0.0
21,4.61844,0.0,0.07203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,11.24239,0.0,0.0,0.0,0.0,0.02177,0.0,0.0
23,0.0,0.0,0.0,0.0,6.97018,21.34234,11.45901,0.00347,0.04016,41.73002,0.26823
24,0.0,0.0,0.0,0.0,1.36256,4.34274,5.92677,0.0,1.86787,19.76756,9.19153
25,0.0,0.0,0.0,0.0,0.38839,1.34092,6.44264,0.0,13.39054,8.12281,6.44783
26,0.0,0.0,0.0,0.00082,0.0,0.0,0.0,0.37238,0.0,0.0,0.0
27,2.34709,0.02969,1.23001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,4.66314,0.0081,0.07742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,2.3014,0.0,0.0,0.0,2.76514,4.48357,0.39382
30,17.9645,0.0,0.78324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,3.18311,0.0,2.36831,0.0,19.5804,3.44862,11.30077
32,0.34133,0.0,25.69003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.74972,0.0,6.19512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,0.0,0.0,0.0,0.0,0.53168,0.0,0.6325,0.0,0.64975,0.66115,0.86841
35,0.0183,0.0448,7.91908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0559,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,3.26214,0.0,1.76932,0.0,19.31076,2.8128,11.75432
38,0.0,0.0,0.0,0.0,0.0,0.0,0.00393,1.3191,0.0,0.00393,0.0
39,4.42508,0.05928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,2.51176,0.0,2.96723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,6.27424,0.09925,11.61734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.0,0.0,0.0,0.0,0.70122,0.0,7.11289,0.0,0.0,7.11347,1.76671
43,2.97071,0.31738,6.47054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,1.74231,0.00018,0.30982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
