,Bacteroides_caccae|t__SGB1877,Bacteroides_cellulosilyticus|t__SGB1844,Bacteroides_fragilis,Bacteroides_stercoris,Bacteroides_uniformis,Blautia_wexlerae|t__SGB4837_group,Eubacterium_siraeum|t__SGB4198_group,Faecalibacterium_prausnitzii,Phocaeicola_coprocola|t__SGB1891_group,Ruminococcus_torques,parainfluenzae|t__SGB9712_group,putredinis|t__SGB2318,unclassified
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00169,0.0,17.727899999999998
1,1.55368,0.2914,0.07202,34.08704,12.81907,0.14268,0.0,3.10312,0.0,0.67115,0.0,0.0,0.0
2,0.50118,0.37451,0.13881,0.0,1.44708,4.62599,0.03678,4.60374,0.0,0.79131,0.0,0.0,0.0
3,0.44116,0.08576,0.0,8.66861,7.93687,0.61372,2.38148,10.15202,0.0,0.01416,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02789,0.44295,24.56488
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.20282,0.0,1.38627
6,0.06916,0.02909,0.0,4.40037,3.41627,0.1363,0.0,2.41306,1.82956,0.38797,0.0,0.0,0.0
7,0.0,0.75898,0.27012,0.03231,10.09351,0.10768,0.0,16.67877,0.0,0.34515,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77682,0.0,37.14481
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.42147
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19526,0.0,30.07937
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01551,0.00283,26.84754
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.15485,4.68401
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00322,0.03376
14,0.0,0.0,0.0,0.0,0.0,2.41159,0.03318,3.35273,0.0,1.28076,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.01814,20.54953
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.50038,19.99891
18,1.20509,1.6798,0.57856,0.0,2.89348,5.44905,0.00732,7.20509,0.0,0.69588,0.0,0.0,0.0
19,0.01317,0.75964,0.00296,1.03021,8.91354,1.03106,0.01308,8.77324,0.0,0.0761,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.28859,18.39616
21,0.40095,0.02991,0.01069,0.01088,1.29456,0.27879,0.00164,7.87493,13.94698,0.21744,0.0,0.0,0.0
22,0.57974,0.01736,0.0,0.16495,4.13492,0.094,0.00671,5.0332,1.2742,0.28237,0.0,0.0,0.0
23,0.0,11.2817,0.0,0.0,0.0,1.7366,12.22637,0.54965,0.0,1.0226,0.0,0.0,0.0
24,0.01204,0.02061,0.19463,8.8001,3.97828,0.49345,0.0,2.24227,9.68701,0.32481,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88179,6.4901
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.15632,0.04236,0.01914,5.4376,2.11838,0.14786,0.0,3.93705,0.00652,0.14363,0.0,0.0,0.0
28,0.63402,0.02234,0.56397,0.08983,0.33096,0.03217,0.00764,11.44678,1.05038,0.04338,0.0,0.0,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.44197,0.02759,1.06349
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01836,0.2818,30.73194
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.45325,10.09094
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.51645,10.52071
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73967,0.00512,26.39981
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.9735
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.05157,0.0,1.6315700000000002
36,0.06965,0.0,0.0,0.59907,0.87827,0.11811,0.0,4.61844,13.22454,0.76816,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02177,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00904,0.04016,41.78468
39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.86787,21.2668
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.39054,10.31134
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.05186,0.0,1.63149
42,0.0,18.16592,0.0,0.0,0.0,2.5594,0.0,2.34709,0.0,0.20837,0.0,0.0,0.0
43,0.22618,0.08461,0.0,0.0,0.82575,2.47174,1.33348,4.66314,0.0,0.93117,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00159,2.76514,9.93889
45,0.00046,0.0,0.01115,0.04014,0.1513,1.36298,0.02165,17.9645,0.31231,0.70944,0.0,0.0,0.0
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.5804,4.81113
47,0.36221,0.0,0.0,0.91403,0.48232,0.03796,0.00693,0.34133,0.0,0.07562,0.0,0.0,0.0
48,1.68035,0.33263,0.03604,3.82134,0.97425,0.05363,0.2841,0.74972,0.0,0.59518,0.0,0.0,0.0
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64975,3.11071
50,0.55481,0.00806,0.0,2.76603,0.74788,0.07734,0.0,0.0183,17.22455,0.2545,0.0,0.0,0.0
51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.82907,0.0,0.8504400000000001
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.31076,4.269
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.32203,0.0,0.6664
54,0.0,0.0,0.55329,0.0,7.15354,2.29527,0.0,4.42508,0.0,0.0,0.0,0.0,0.0
55,1.08753,0.0,0.0,0.91205,0.89624,2.37095,0.13229,2.51176,0.0,0.40868,0.0,0.0,0.0
