,Bilophila_wadsworthia|t__SGB15452,Clostridia_unclassified_SGB4121,Clostridium_fessum|t__SGB4705,Coprococcus_catus,Dorea_formicigenerans,Dorea_longicatena,Dysosmobacter_welbionis,Faecalibacterium_prausnitzii,Faecalibacterium_prausnitzii|t__SGB15342,GGB9581_SGB14999|t__SGB14999,Lachnospiraceae_bacterium,Parabacteroides_distasonis|t__SGB1934,Phascolarctobacterium_faecium,Phocaeicola_coprocola,Ruminococcus_torques,unclassified
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.727899999999998
1,0.0,0.0,0.15422,0.0,0.03338,0.08152,0.06563,3.10312,0.66194,0.01781,1.35333,2.15313,0.04577,0.0,0.67115,0.0
2,0.33708,0.12135,0.08771,0.58246,0.7314,1.49691,0.31152,4.60374,0.36125,0.06006,0.72334,0.289,0.0,0.0,0.79131,0.0
3,0.0,0.0127,0.28509,0.02573,0.00943,0.34456,0.16611,10.15202,0.0,0.0,1.05578,0.67408,1.66731,0.0,0.01416,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.56488
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38627
6,0.16455,0.04672,0.31274,0.0,0.04763,0.03437,0.14355,2.41306,0.67017,0.04477,1.37637,0.35227,1.4779,1.82956,0.38797,0.0
7,0.82167,0.0009,0.56069,0.11095,0.07283,0.14318,0.82256,16.67877,0.53843,0.0,0.27359,1.2826,0.0,0.0,0.34515,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.14481
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.42147
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.07937
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.84754
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.68401
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03376
14,0.0,0.10028,0.0,0.0,0.20034,2.29195,0.05231,3.35273,0.0,0.01168,1.25998,0.0,0.0,0.0,1.28076,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.54953
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.99891
18,0.25591,0.10066,0.36234,0.24954,0.24689,1.04483,0.01745,7.20509,1.63147,0.0137,1.42142,0.0,0.0,0.0,0.69588,0.0
19,0.0,0.16614,0.11809,0.02797,0.11317,0.86598,0.10286,8.77324,1.6561,0.0,1.31115,0.69641,0.03259,0.0,0.0761,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.39616
21,0.06043,0.0,0.10965,0.19536,0.09383,0.08139,0.00867,7.87493,0.63925,0.02683,2.60478,0.29664,0.48603,13.94698,0.21744,0.0
22,0.44238,0.0,0.37634,0.01682,0.01263,0.05083,0.04967,5.0332,0.70576,0.03507,0.42225,0.64103,1.76634,1.2742,0.28237,0.0
23,0.0,0.03357,0.07083,0.0,0.02431,0.02014,0.02403,0.54965,0.15037,0.0,0.46396,0.0,0.45602,0.0,1.0226,0.0
24,0.22432,0.14599,0.37994,0.1184,0.11354,0.41739,0.09315,2.24227,0.45468,0.06615,0.53972,0.17309,0.19601,9.68701,0.32481,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4901
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.02168,0.0,0.16753,0.00882,0.01617,0.06686,0.02882,3.93705,0.74712,0.0,1.77979,0.25395,0.84218,0.00652,0.14363,0.0
28,0.11959,0.0,0.16009,0.00385,0.03456,0.05244,0.07171,11.44678,0.58996,0.03727,0.20864,0.9428,0.0,1.05038,0.04338,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06349
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.73194
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.09094
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.52071
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.39981
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.9735
