,Bilophila_wadsworthia|t__SGB15452,Clostridia_unclassified_SGB4121,Clostridiales_bacterium|t__SGB15158,Clostridium_fessum|t__SGB4705,Dorea_formicigenerans|t__SGB4575,Dorea_longicatena,Faecalibacterium_prausnitzii,Faecalibacterium_prausnitzii|t__SGB15316_group,Faecalibacterium_prausnitzii|t__SGB15318_group,Faecalibacterium_prausnitzii|t__SGB15342,Lachnospiraceae_bacterium,Lachnospiraceae_bacterium_WCA3_601_WT_6H,Leuconostoc_pseudomesenteroides,Parabacteroides_distasonis|t__SGB1934,Phocaeicola_coprocola,unclassified
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.727899999999998
1,0.0,0.0,0.01088,0.15422,0.03338,0.08152,3.10312,1.02045,0.14806,0.66194,1.35333,0.0,0.0,2.15313,0.0,0.0
2,0.33708,0.12135,0.0,0.08771,0.7314,1.49691,4.60374,0.37579,1.03128,0.36125,0.72334,0.17682,0.0,0.289,0.0,0.0
3,0.0,0.0127,0.0,0.28509,0.00943,0.34456,10.15202,3.6661,0.0,0.0,1.05578,0.01186,0.0,0.67408,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.56488
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38627
6,0.16455,0.04672,0.0575,0.31274,0.04763,0.03437,2.41306,1.16519,0.154,0.67017,1.37637,6.41724,0.0,0.35227,1.82956,0.0
7,0.82167,0.0009,0.0,0.56069,0.07283,0.14318,16.67877,2.32764,4.72269,0.53843,0.27359,0.27551,0.0,1.2826,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.14481
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.42147
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.07937
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.84754
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.68401
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03376
14,0.0,0.10028,0.0,0.0,0.20034,2.29195,3.35273,0.15548,3.19725,0.0,1.25998,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.54953
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.99891
18,0.25591,0.10066,0.0,0.36234,0.24689,1.04483,7.20509,1.56807,2.8634,1.63147,1.42142,0.0058,0.0,0.0,0.0,0.0
19,0.0,0.16614,0.0,0.11809,0.11317,0.86598,8.77324,0.43792,2.36971,1.6561,1.31115,0.01694,0.0,0.69641,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.39616
21,0.06043,0.0,0.0,0.10965,0.09383,0.08139,7.87493,4.90156,0.77304,0.63925,2.60478,0.16002,0.0,0.29664,13.94698,0.0
22,0.44238,0.0,0.0,0.37634,0.01263,0.05083,5.0332,1.13409,0.23484,0.70576,0.42225,0.02323,0.0,0.64103,1.2742,0.0
23,0.0,0.03357,0.0,0.07083,0.02431,0.02014,0.54965,0.1114,0.0,0.15037,0.46396,0.0,0.0,0.0,0.0,0.0
24,0.22432,0.14599,0.0,0.37994,0.11354,0.41739,2.24227,0.0663,1.25809,0.45468,0.53972,0.96153,0.0,0.17309,9.68701,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4901
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,0.02168,0.0,0.0,0.16753,0.01617,0.06686,3.93705,1.5875,0.42552,0.74712,1.77979,4.84808,0.0,0.25395,0.00652,0.0
28,0.11959,0.0,0.0,0.16009,0.03456,0.05244,11.44678,6.73782,1.96558,0.58996,0.20864,0.01663,0.0,0.9428,1.05038,0.0
29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.06349
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.73194
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.09094
