,Agathobaculum_butyriciproducens,Anaerostipes_hadrus,Bacteroides_caccae,Bacteroides_thetaiotaomicron|t__SGB1861,Bacteroides_uniformis|t__SGB1836_group,Bacteroides_xylanisolvens,Blautia_wexlerae,Clostridiaceae_bacterium,Clostridium_sp_AF34_10BH|t__SGB4914,Eggerthella_lenta,Enterocloster_bolteae|t__SGB4758_group,Enterocloster_citroniae,Escherichia_coli|t__SGB10068,Faecalibacterium_prausnitzii|t__SGB15316_group,Flavonifractor_plautii|t__SGB15132,Lachnospiraceae_bacterium,Parabacteroides_distasonis|t__SGB1934
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.00173,0.05064,1.55368,0.18238,12.81907,1.32723,0.14268,0.02782,0.04753,0.00038,0.4712,0.01656,0.20454,1.02045,0.23781,1.35333,2.15313
2,0.30078,1.11269,0.50118,0.67654,1.44708,0.08705,4.62599,0.48615,0.77016,0.0,0.00043,0.00065,0.16409,0.37579,0.02643,0.72334,0.289
3,0.12078,1.24812,0.44116,0.26864,7.93687,0.60446,0.61372,0.1752,0.94914,0.0,0.03463,0.0065,0.17912,3.6661,0.03334,1.05578,0.67408
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.00814,0.00958,0.06916,0.33137,3.41627,0.13414,0.1363,0.10799,4.10011,0.0,0.00099,0.0184,0.00471,1.16519,0.02726,1.37637,0.35227
7,0.5981,0.06427,0.0,0.18189,10.09351,0.00707,0.10768,0.26838,0.62238,0.03848,0.03362,0.00149,0.81887,2.32764,0.2657,0.27359,1.2826
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.67935,0.86868,0.0,0.0,0.0,0.0,2.41159,0.11202,0.02566,0.02832,0.13939,0.00969,0.95899,0.15548,0.02921,1.25998,0.0
