,Bacteroides_uniformis|t__SGB1836_group,Faecalibacterium_prausnitzii,_Cutibacterium_acnes|t__SGB16955,_Faecalibacterium_prausnitzii,_Phocaeicola_plebeius|t__SGB1903_group,_Phocaeicola_vulgatus|t__SGB1814,mitis|t__SGB8163,putredinis|t__SGB2318,stercoris|t__SGB1830_group,unclassified|g__Phocaeicola,uniformis|t__SGB1836_group
0,0.0,0.0,0.0,1.37246,0.0,12.42665,0.0,0.0,28.65507,16.37701,7.65229
1,12.81907,3.10312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1.44708,4.60374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,7.93687,10.15202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,6.31643,0.02344,13.68863,0.0,0.44295,0.27454,23.71539,7.05976
5,0.0,0.0,0.0,0.0,0.0,0.00103,0.0474,0.0,0.0,0.00103,0.0
6,3.41627,2.41306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,10.09351,16.67877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,4.88454,30.84225,0.0,0.0,0.0,5.49411,37.01655,1.56851
9,0.0,0.0,0.0,4.09986,0.0,19.22798,0.0,0.0,6.98106,49.80603,11.4889
10,0.0,0.0,0.0,3.09786,0.00227,29.94023,0.00169,0.0,0.00324,29.94573,2.16045
11,0.0,0.0,0.0,1.368,3.60852,23.18454,0.0,0.00283,2.81198,26.79916,1.78066
12,0.0,0.0,0.0,3.19436,0.0,2.26697,0.0,19.15485,15.77266,3.23282,11.68313
13,0.0,0.0,10.89654,0.0,0.0,0.03376,0.0,0.00322,0.0,0.03376,0.0
14,0.0,3.35273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,26.44574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.60001,16.48425,2.59173,0.0,7.01814,1.68447,20.32368,10.61473
17,0.0,0.0,0.0,1.1969,4.69619,7.94435,0.0,7.50038,4.73553,19.76679,9.57121
18,2.89348,7.20509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,8.91354,8.77324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,4.00133,0.0,16.0775,0.00859,5.28859,10.28032,16.0775,9.56364
21,1.29456,7.87493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,4.13492,5.0332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.54965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,3.97828,2.24227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,3.0423,0.0,2.52806,0.0,2.88179,0.0018,3.99679,4.1321
26,0.0,0.0,44.41641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2.11838,3.93705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.33096,11.44678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.0,0.0,0.0,0.01818,0.05316,0.14473,0.14906,0.02759,0.02165,0.19789,0.03697
