,Bacteroides_cellulosilyticus|t__SGB1844,Bacteroides_fragilis,Bacteroides_stercoris,Bacteroides_uniformis,Blautia_wexlerae|t__SGB4837_group,Escherichia_coli|t__SGB10068,Eubacterium_siraeum|t__SGB4198_group,Faecalibacterium_prausnitzii,Phocaeicola_coprocola|t__SGB1891_group,Phocaeicola_plebeius,Prevotella_copri_clade_A,Ruminococcus_torques,parainfluenzae,putredinis,unclassified
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,17.20937,0.0,0.0,0.0,3.02225,0.0,0.85359,2.86088,0.0,0.0,0.0,0.44808,0.0,0.0,0.0
2,0.0,0.10328,1.58793,26.04722,0.12994,0.0,0.0,1.40303,0.0,16.64869,0.00582,0.08251,0.0,0.0,0.0
3,0.0,0.27779,1.88805,1.01937,0.06363,0.15764,0.0,4.45742,0.0,28.23493,0.0,5.18574,0.0,0.0,0.0
4,0.01106,0.0,0.2379,14.87913,0.20664,0.04673,0.0,6.4183,12.60491,11.26759,0.00694,0.2997,0.0,0.0,0.0
5,0.12021,0.16012,3.56556,7.5855,0.18462,0.92605,0.0,4.76667,0.0,0.00329,22.63057,1.70071,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01663,1.6409,1.78866
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.01933,0.0,1.00674
8,0.0,0.0,0.0,0.9438,3.13567,0.0,0.05306,8.59828,0.06502,0.0,1.79354,0.94047,0.0,0.0,0.0
9,19.99929,0.0,0.0,0.0,2.75268,0.0,0.2625,1.83727,0.0,0.0,0.0,0.43696,0.0,0.0,0.0
10,0.12109,0.0,0.8887,0.57669,0.02923,0.16322,1.12503,3.35036,0.71075,2.98846,21.69806,0.01473,0.0,0.0,0.0
11,0.74114,0.00019,0.0,3.46878,6.34717,1.60269,0.0,0.69535,0.0,19.56286,0.06386,1.14047,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,1.33273,0.0,0.0,9.30992,1.54477,0.05681,0.0,2.08688,0.0,0.0,0.0,1.22138,0.0,0.0,0.0
14,0.00054,22.77089,0.00653,0.00378,0.67101,0.77974,0.0,0.108,0.0,0.0,0.00499,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00169,0.0,17.727899999999998
16,0.2914,0.07202,34.08704,12.81907,0.14268,0.20454,0.0,3.10312,0.0,0.0,0.00825,0.67115,0.0,0.0,0.0
17,0.37451,0.13881,0.0,1.44708,4.62599,0.16409,0.03678,4.60374,0.0,0.0,1.82913,0.79131,0.0,0.0,0.0
18,0.08576,0.0,8.66861,7.93687,0.61372,0.17912,2.38148,10.15202,0.0,0.00166,0.0,0.01416,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02789,0.44295,24.56488
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.20282,0.0,1.38627
21,0.02909,0.0,4.40037,3.41627,0.1363,0.00471,0.0,2.41306,1.82956,8.32257,13.30782,0.38797,0.0,0.0,0.0
22,0.75898,0.27012,0.03231,10.09351,0.10768,0.81887,0.0,16.67877,0.0,0.003,0.0,0.34515,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77682,0.0,37.14481
24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.42147
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19526,0.0,30.07937
26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01551,0.00283,26.84754
27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.15485,4.68401
28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00322,0.03376
29,0.0,0.0,0.0,0.0,2.41159,0.95899,0.03318,3.35273,0.0,0.0,0.0,1.28076,0.0,0.0,0.0
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.01814,20.54953
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.50038,19.99891
33,1.6798,0.57856,0.0,2.89348,5.44905,0.02003,0.00732,7.20509,0.0,0.0,0.0,0.69588,0.0,0.0,0.0
34,0.75964,0.00296,1.03021,8.91354,1.03106,0.29127,0.01308,8.77324,0.0,0.05171,0.0,0.0761,0.0,0.0,0.0
35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.28859,18.39616
36,0.02991,0.01069,0.01088,1.29456,0.27879,4.754,0.00164,7.87493,13.94698,0.0,0.0,0.21744,0.0,0.0,0.0
37,0.01736,0.0,0.16495,4.13492,0.094,0.20813,0.00671,5.0332,1.2742,6.99661,39.3773,0.28237,0.0,0.0,0.0
38,11.2817,0.0,0.0,0.0,1.7366,0.0,12.22637,0.54965,0.0,0.0,0.0,1.0226,0.0,0.0,0.0
39,0.02061,0.19463,8.8001,3.97828,0.49345,0.2982,0.0,2.24227,9.68701,10.57283,0.03341,0.32481,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.88179,6.4901
41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,0.04236,0.01914,5.4376,2.11838,0.14786,0.10925,0.0,3.93705,0.00652,0.0,0.00843,0.14363,0.0,0.0,0.0
43,0.02234,0.56397,0.08983,0.33096,0.03217,0.33041,0.00764,11.44678,1.05038,8.90917,2.8632,0.04338,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.44197,0.02759,1.06349
45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01836,0.2818,30.73194
46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.45325,10.09094
47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.51645,10.52071
48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73967,0.00512,26.39981
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.9735
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.05157,0.0,1.6315700000000002
51,0.0,0.0,0.59907,0.87827,0.11811,0.00768,0.0,4.61844,13.22454,8.37857,0.0,0.76816,0.0,0.0,0.0
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02177,0.0
53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00904,0.04016,41.78468
54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.86787,21.2668
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.39054,10.31134
56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.05186,0.0,1.63149
57,18.16592,0.0,0.0,0.0,2.5594,0.0,0.0,2.34709,0.0,0.0,0.0,0.20837,0.0,0.0,0.0
