,Bacteroides_xylanisolvens,Bilophila_wadsworthia|t__SGB15452,Blautia_faecis,Clostridia_unclassified_SGB4121|t__SGB4121,Clostridium_fessum,Dorea_formicigenerans|t__SGB4575,Enterocloster_aldensis,Faecalibacterium_prausnitzii,Faecalibacterium_prausnitzii|t__SGB15316_group,Faecalibacterium_prausnitzii|t__SGB15342,GGB29535_SGB42321,Lachnospira_pectinoschiza,Lachnospiraceae_bacterium,Lachnospiraceae_bacterium|t__SGB4750,Phascolarctobacterium_faecium,Ruminococcus_torques,unclassified
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.17536,0.01272,0.1418,0.04966,0.0,2.86088,0.15558,1.03177,0.16763,0.0,1.44351,0.07053,0.51514,0.44808,0.0
2,0.17532,0.16372,0.33712,0.0,0.14167,0.04057,0.0,1.40303,0.29302,0.48619,0.0,0.0,0.14284,0.005,1.36142,0.08251,0.0
3,0.06031,0.0,0.07551,0.06335,0.04476,0.0,0.0,4.45742,3.15605,1.30137,0.0,0.0,7.70432,0.11794,0.00394,5.18574,0.0
4,2.07821,0.10813,0.12053,0.00323,0.15751,0.01781,0.00108,6.4183,1.74011,0.37563,0.0,2.64039,0.30782,0.02702,1.52951,0.2997,0.0
5,0.0364,0.44912,0.07363,0.05783,0.28562,0.0,0.21908,4.76667,4.76507,0.0,0.0,0.0,0.71062,0.35165,0.22337,1.70071,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78866
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00674
8,0.05027,0.0,0.40052,0.27929,0.0753,0.49709,0.0,8.59828,0.36735,0.73354,0.0,0.04906,2.03988,0.00344,0.0,0.94047,0.0
9,0.0,0.0,0.21473,0.01315,0.08548,0.01407,0.0,1.83727,0.11677,0.07908,0.12624,0.0,1.47557,0.03611,0.52005,0.43696,0.0
10,0.24671,0.25635,0.00515,0.0,0.11233,0.02098,0.0,3.35036,0.92516,0.91817,0.0,0.06858,0.35289,0.00371,0.06395,0.01473,0.0
11,0.01302,0.86217,0.0,0.00856,0.80395,0.67517,0.0,0.69535,0.02244,0.0312,0.0,0.0,1.08907,0.01602,0.0,1.14047,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.00142,0.31633,1.29099,0.08487,0.0,0.38569,0.054,2.08688,0.60533,1.48155,0.0,0.863,1.02751,0.0,0.0,1.22138,0.0
