,Bilophila_wadsworthia|t__SGB15452,Clostridia_unclassified_SGB4121,Clostridium_fessum|t__SGB4705,Dorea_formicigenerans|t__SGB4575,Dysosmobacter_welbionis,Faecalibacterium_SGB15346,Faecalibacterium_prausnitzii,Faecalibacterium_prausnitzii|t__SGB15316_group,Faecalibacterium_prausnitzii|t__SGB15318_group,Faecalibacterium_prausnitzii|t__SGB15342,Harryflintia_acetispora,Lachnospiraceae_bacterium,Lachnospiraceae_bacterium_WCA3_601_WT_6H,Lachnospiraceae_bacterium|t__SGB4750,Mediterraneibacter_sp_gm002,Ruminococcus_torques,unclassified
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.01272,0.1418,0.04966,0.01923,0.22401,2.86088,0.15558,0.0,1.03177,0.0,1.44351,0.0,0.07053,0.0,0.44808,0.0
2,0.16372,0.0,0.14167,0.04057,0.0,0.18721,1.40303,0.29302,0.02799,0.48619,0.0,0.14284,14.07934,0.005,0.00164,0.08251,0.0
3,0.0,0.06335,0.04476,0.0,0.0,2.07335,4.45742,3.15605,0.0,1.30137,0.0,7.70432,0.0,0.11794,0.0,5.18574,0.0
4,0.10813,0.00323,0.15751,0.01781,0.05874,0.11586,6.4183,1.74011,0.0,0.37563,0.0,0.30782,0.16846,0.02702,0.0,0.2997,0.0
5,0.44912,0.05783,0.28562,0.0,0.65452,0.0,4.76667,4.76507,0.0,0.0,0.0,0.71062,0.45405,0.35165,0.0,1.70071,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.78866
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.00674
8,0.0,0.27929,0.0753,0.49709,0.03907,2.51203,8.59828,0.36735,1.6411,0.73354,0.0,2.03988,0.05379,0.00344,0.0,0.94047,0.0
9,0.0,0.01315,0.08548,0.01407,0.07597,0.01164,1.83727,0.11677,0.0,0.07908,0.0,1.47557,0.0,0.03611,0.0,0.43696,0.0
10,0.25635,0.0,0.11233,0.02098,0.03817,1.52271,3.35036,0.92516,0.057,0.91817,0.0,0.35289,0.12952,0.00371,0.01229,0.01473,0.0
11,0.86217,0.00856,0.80395,0.67517,0.0,0.19862,0.69535,0.02244,0.4047,0.0312,0.0,1.08907,0.0,0.01602,0.0,1.14047,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.31633,0.08487,0.0,0.38569,0.33558,0.0,2.08688,0.60533,0.0,1.48155,0.0,1.02751,0.0,0.0,0.0,1.22138,0.0
14,0.60436,0.0,0.0,0.01251,0.0,0.10241,0.108,0.0,0.0,0.0,0.0,0.06613,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.727899999999998
16,0.0,0.0,0.15422,0.03338,0.06563,0.50565,3.10312,1.02045,0.14806,0.66194,0.0,1.35333,0.0,0.0,0.0,0.67115,0.0
17,0.33708,0.12135,0.08771,0.7314,0.31152,0.54626,4.60374,0.37579,1.03128,0.36125,0.00072,0.72334,0.17682,0.02615,0.0,0.79131,0.0
18,0.0,0.0127,0.28509,0.00943,0.16611,0.0,10.15202,3.6661,0.0,0.0,0.0,1.05578,0.01186,0.00365,0.0,0.01416,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.56488
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38627
21,0.16455,0.04672,0.31274,0.04763,0.14355,0.20079,2.41306,1.16519,0.154,0.67017,0.0,1.37637,6.41724,0.02856,0.0,0.38797,0.0
22,0.82167,0.0009,0.56069,0.07283,0.82256,1.31737,16.67877,2.32764,4.72269,0.53843,0.0,0.27359,0.27551,0.06433,0.00096,0.34515,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.14481
