,Agathobaculum_butyriciproducens,Bacteroides_ovatus,Bacteroides_thetaiotaomicron,Bacteroides_xylanisolvens|t__SGB1867,Bifidobacterium_longum|t__SGB17248,Blautia_faecis,Blautia_wexlerae|t__SGB4837_group,Clostridium_fessum,Enterocloster_bolteae|t__SGB4758_group,Enterocloster_citroniae|t__SGB4761,Escherichia_coli|t__SGB10068,Faecalibacterium_prausnitzii|t__SGB15316_group,Flavonifractor_plautii|t__SGB15132,Fusicatenibacter_saccharivorans|t__SGB4874,Parabacteroides_distasonis,Parabacteroides_merdae|t__SGB1949,Phocaeicola_vulgatus|t__SGB1814,Streptococcus_salivarius|t__SGB8007_group
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.02155,5.1664,0.0,0.0,0.0,0.17536,3.02225,0.1418,0.0,0.0,0.0,0.15558,0.0,1.37125,0.0,0.0,2.10031,0.0
2,0.04459,1.25553,0.29536,0.17532,0.02126,0.33712,0.12994,0.14167,0.0,0.00387,0.0,0.29302,0.00018,0.12238,0.08194,0.14993,9.55073,0.00412
3,0.10955,0.44544,0.04186,0.06031,0.04889,0.07551,0.06363,0.04476,0.00077,0.03015,0.15764,3.15605,0.03537,0.0,5.21406,0.10153,6.95528,0.16692
4,0.01279,0.63845,0.10058,2.07821,0.0,0.12053,0.20664,0.15751,0.04692,0.01613,0.04673,1.74011,0.02608,0.06543,0.93151,0.68029,8.98974,0.00496
5,0.09834,0.67041,0.90141,0.0364,0.03686,0.07363,0.18462,0.28562,0.10859,0.03769,0.92605,4.76507,0.63113,0.48169,1.30663,1.00488,8.59661,0.1107
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.27528,0.0422,0.0,0.05027,0.23207,0.40052,3.13567,0.0753,0.0,0.0,0.0,0.36735,0.0,1.22225,0.0,0.42031,0.55869,0.45804
9,0.03585,3.67753,0.0,0.0,0.0,0.21473,2.75268,0.08548,0.0,0.0,0.0,0.11677,0.0,1.39643,0.0,0.0,0.20254,0.0
10,0.02201,0.01813,0.38241,0.24671,0.0,0.00515,0.02923,0.11233,0.00141,0.00343,0.16322,0.92516,0.00844,0.01273,0.12778,0.03893,0.44484,0.00296
11,0.54282,1.53085,1.36255,0.01302,0.02772,0.0,6.34717,0.80395,0.0,0.0,1.60269,0.02244,1.30202,0.00017,3.45946,0.82194,0.01964,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.04685,0.37015,0.90431,0.00142,0.0,1.29099,1.54477,0.0,0.4191,0.00919,0.05681,0.60533,0.01449,1.51798,0.58744,0.75266,0.00419,0.01194
14,0.0,9.74734,30.21734,0.21493,0.0,0.0,0.67101,0.0,3.22762,0.09349,0.77974,0.0,0.08156,0.0,8.25665,0.0,0.0505,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.00173,0.19663,0.18238,1.32723,1.86432,0.0258,0.14268,0.15422,0.4712,0.01656,0.20454,1.02045,0.23781,0.00446,2.15313,4.42471,15.97338,1.0015
17,0.30078,0.14641,0.67654,0.08705,0.60684,0.57963,4.62599,0.08771,0.00043,0.00065,0.16409,0.37579,0.02643,0.61406,0.289,0.35905,2.96826,0.09515
18,0.12078,2.71742,0.26864,0.60446,0.0,0.19105,0.61372,0.28509,0.03463,0.0065,0.17912,3.6661,0.03334,0.38233,0.67408,0.31916,11.93558,0.00379
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.00814,0.22652,0.33137,0.13414,0.0,0.02909,0.1363,0.31274,0.00099,0.0184,0.00471,1.16519,0.02726,0.06079,0.35227,0.51232,1.59249,0.0
