,Bacteroides_fragilis,Bacteroides_uniformis|t__SGB1836_group,Faecalibacterium_prausnitzii,Prevotella_copri_clade_A|t__SGB1626,_Cutibacterium_acnes|t__SGB16955,_Phocaeicola_plebeius|t__SGB1903_group,_Phocaeicola_vulgatus|t__SGB1814,putredinis|t__SGB2318,stercoris|t__SGB1830_group,unclassified|g__Phocaeicola,uniformis|t__SGB1836_group
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00376,0.0,0.0
1,0.0,0.0,2.86088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.10328,26.04722,1.40303,0.00582,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.27779,1.01937,4.45742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,14.87913,6.4183,0.00694,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.16012,7.5855,4.76667,22.63057,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.02897,1.6409,0.0,1.17762,0.15085
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.9438,8.59828,1.79354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,1.83727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.57669,3.35036,21.69806,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.00019,3.46878,0.69535,0.06386,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,9.30992,2.08688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,22.77089,0.00378,0.108,0.00499,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,12.42665,0.0,28.65507,16.37701,7.65229
16,0.07202,12.81907,3.10312,0.00825,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.13881,1.44708,4.60374,1.82913,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,7.93687,10.15202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.02344,13.68863,0.44295,0.27454,23.71539,7.05976
20,0.0,0.0,0.0,0.0,0.0,0.0,0.00103,0.0,0.0,0.00103,0.0
21,0.0,3.41627,2.41306,13.30782,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.27012,10.09351,16.67877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
